ICAO;CALLSIGN;PRONOUNCIATION;COMMENTS
AAL;AMERICAN;AMERICAN;
AFR;AIRFRANCE;AIRFRANCE;
ANA;ALL NIPPON;ALL NIPPON;
BAW;SPEEDBIRD;SPEEDBIRD;
BAW;SPEEDBIRD;SPIRBROUGH;speech-to-text common error translation
CCA;AIR CHINA;AIR CHINA;
CPA;CATHAY;CATHAY;
DAL;DELTA;DELTA;
DLH;LUFTHANSA;LUFTHANSA;
EZY;EASY;EASY;
FIN;FINNAIR;FINNAIR;
IBE;IBERIA;IBERIA;
JAL;JAPANAIR;JAPANAIR;
KAL;KOREANAIR;KOREANAIR;
KLM;KLM;KLM;
LOT;POLLOT;POLLOT;Both POLLOT and LOT used
LOT;LOT;LOT;Both POLLOT and LOT used
MAS;MALAYSIA;MALAYSIA;
QFA;QANTAS;QANTAS;
RYR;RYANAIR;RYANAIR;
SAS;SCANDINAVIAN;SCANDINAVIAN;
SIA;SINGAPORE;SINGAPORE;
SWA;SOUTHWEST;SOUTHWEST;
THA;THAI;THAI;
UAL;UNITED;UNITED;
VIR;VIRGIN;VIRGIN;
